,path,size,Class
2001,audio/knocking_door_0045_time_stretch_4.wav,146606,knocking_door
2002,audio/tt_kd_0002_time_stretch_3.wav,146524,knocking_door
2003,audio/bags_0006_time_stretch_0.wav,146478,bags
2004,audio/t_knocking_door_0069_time_stretch_3.wav,146436,knocking_door
2005,audio/door_0021_time_stretch_2.wav,146312,door
2006,audio/knocking_door_0043_time_stretch_7.wav,146134,knocking_door
2007,audio/background_0036_time_stretch_8.wav,146108,background
2008,audio/door_0010_time_stretch_0.wav,146086,door
2009,audio/t_knocking_door_0083_time_stretch_7.wav,146086,knocking_door
2010,audio/knocking_door_0017_time_stretch_4.wav,146084,knocking_door
2011,audio/speech_0109.wav,145998,speech
2012,audio/bags_0042_time_stretch_0.wav,145938,bags
2013,audio/tt_kd_0005_time_stretch_4.wav,145830,knocking_door
2014,audio/door_0047_time_stretch_3.wav,145782,door
2015,audio/t_knocking_door_0065_time_stretch_7.wav,145748,knocking_door
2016,audio/keyboard_0037_time_stretch_3.wav,145716,keyboard
2017,audio/t_door_0030_time_stretch_8.wav,145674,door
2018,audio/background_0014_time_stretch_1.wav,145656,background
2019,audio/keyboard_0012_time_stretch_1.wav,145614,keyboard
2020,audio/t_knocking_door_0005_time_stretch_3.wav,145466,knocking_door
2021,audio/door_0033_time_stretch_7.wav,145420,door
2022,audio/door_0005_time_stretch_9.wav,145406,door
2023,audio/knocking_door_0015_time_stretch_11.wav,145384,knocking_door
2024,audio/k_0072_time_stretch_1.wav,145372,keyboard
2025,audio/t_door_0012_time_stretch_5.wav,145192,door
2026,audio/t_knocking_door_0049_time_stretch_7.wav,145174,knocking_door
2027,audio/t_door_0049_time_stretch_7.wav,145134,door
2028,audio/t_bags_0024_time_stretch_1.wav,145128,bags
2029,audio/door_0034_time_stretch_4.wav,145096,door
2030,audio/tt_kd_0011_time_stretch_11.wav,145082,knocking_door
2031,audio/background_0071_time_stretch_4.wav,145050,background
2032,audio/door_0002_time_stretch_4.wav,145036,door
2033,audio/t_knocking_door_0080_time_stretch_1.wav,144986,knocking_door
2034,audio/t_door_0089_time_stretch_1.wav,144984,door
2035,audio/knocking_door_0007_time_stretch_6.wav,144980,knocking_door
2036,audio/d_0003_time_stretch_11.wav,144930,door
2037,audio/t_door_0020.wav,144926,door
2038,audio/t_door_0025.wav,144926,door
2039,audio/bags_0007.wav,144926,bags
2040,audio/ring_0645.wav,144926,ring
2041,audio/keyboard_0021.wav,144926,keyboard
2042,audio/knocking_door_0027.wav,144926,knocking_door
2043,audio/keyboard_0012.wav,144926,keyboard
2044,audio/keyboard_0008.wav,144926,keyboard
2045,audio/background_0061.wav,144926,background
2046,audio/background_0013.wav,144926,background
2047,audio/t_knocking_door_0080_time_stretch_9.wav,144850,knocking_door
2048,audio/t_knocking_door_0048_time_stretch_1.wav,144798,knocking_door
2049,audio/door_0037_time_stretch_4.wav,144752,door
2050,audio/k_0060_time_stretch_1.wav,144716,keyboard
2051,audio/t_door_0016_time_stretch_7.wav,144630,door
2052,audio/knocking_door_0017_time_stretch_5.wav,144610,knocking_door
2053,audio/door_0017_time_stretch_3.wav,144586,door
2054,audio/door_0029_time_stretch_10.wav,144532,door
2055,audio/t_knocking_door_0062_time_stretch_10.wav,144528,knocking_door
2056,audio/tt_kd_0001_time_stretch_10.wav,144522,knocking_door
2057,audio/knocking_door_0010_time_stretch_11.wav,144448,knocking_door
2058,audio/t_door_0016_time_stretch_5.wav,144440,door
2059,audio/background_0063_time_stretch_2.wav,144406,background
2060,audio/background_0062_time_stretch_7.wav,144388,background
2061,audio/background_0069_time_stretch_2.wav,144330,background
2062,audio/t_knocking_door_0049_time_stretch_1.wav,144290,knocking_door
2063,audio/background_0014_time_stretch_8.wav,144206,background
2064,audio/t_knocking_door_0069_time_stretch_11.wav,144182,knocking_door
2065,audio/knocking_door_0015_time_stretch_7.wav,144162,knocking_door
2066,audio/background_0036_time_stretch_5.wav,144154,background
2067,audio/background_0065_time_stretch_4.wav,144148,background
2068,audio/k_0061_time_stretch_1.wav,144110,keyboard
2069,audio/ring_0563.wav,144082,ring
2070,audio/t_knocking_door_0084.wav,144078,knocking_door
2071,audio/t_door_0001.wav,144078,door
2072,audio/k_0047_time_stretch_2.wav,143984,keyboard
2073,audio/t_knocking_door_0065_time_stretch_8.wav,143920,knocking_door
