,path,size,Class
2001,audio/background_0045_time_stretch_7.wav,254502,background
2002,audio/knocking_door_0002.wav,254494,knocking_door
2003,audio/ring_0433.wav,254464,ring
2004,audio/background_0057_time_stretch_0.wav,254366,background
2005,audio/background_0012_time_stretch_13.wav,254270,background
2006,audio/background_0052_time_stretch_0.wav,254262,background
2007,audio/background_0031_time_stretch_9.wav,254184,background
2008,audio/background_0011_time_stretch_9.wav,254066,background
2009,audio/bags_0034_time_stretch_3.wav,253810,bags
2010,audio/background_0041_time_stretch_7.wav,253806,background
2011,audio/t_door_0074_time_stretch_2.wav,253780,door
2012,audio/door_0032_time_stretch_7.wav,253754,door
2013,audio/background_0058_time_stretch_8.wav,253736,background
2014,audio/bags_0034_time_stretch_0.wav,253490,bags
2015,audio/ring_0644.wav,253470,ring
2016,audio/keyboard_0003.wav,253470,keyboard
2017,audio/speech_0028.wav,253470,speech
2018,audio/speech_0041.wav,253470,speech
2019,audio/t_keyboard_0047.wav,253470,keyboard
2020,audio/speech_0038.wav,253470,speech
2021,audio/t_door_0003_time_stretch_10.wav,253434,door
2022,audio/background_0021_time_stretch_6.wav,253358,background
2023,audio/background_0055_time_stretch_5.wav,253128,background
2024,audio/door_0033_time_stretch_9.wav,253006,door
2025,audio/background_0015_time_stretch_5.wav,252978,background
2026,audio/knocking_door_0022_time_stretch_7.wav,252758,knocking_door
2027,audio/background_0058_time_stretch_12.wav,252580,background
2028,audio/bags_0016_time_stretch_3.wav,252534,bags
2029,audio/bags_0010_time_stretch_1.wav,252512,bags
2030,audio/ring_0444.wav,252480,ring
2031,audio/t_door_0088_time_stretch_9.wav,252460,door
2032,audio/k_0031_time_stretch_0.wav,252326,keyboard
2033,audio/background_0020_time_stretch_4.wav,252250,background
2034,audio/tt_kd_0018_time_stretch_1.wav,252236,knocking_door
2035,audio/knocking_door_0014_time_stretch_6.wav,252194,knocking_door
2036,audio/background_0055_time_stretch_9.wav,252064,background
2037,audio/t_knocking_door_0076_time_stretch_5.wav,252016,knocking_door
2038,audio/background_0071_time_stretch_2.wav,251918,background
2039,audio/t_keyboard_0072.wav,251598,keyboard
2040,audio/t_keyboard_0076.wav,251598,keyboard
2041,audio/t_keyboard_0003.wav,251598,keyboard
2042,audio/keyboard_0015_time_stretch_0.wav,251584,keyboard
2043,audio/t_door_0001_time_stretch_5.wav,251532,door
2044,audio/t_bags_0080_time_stretch_0.wav,251310,bags
2045,audio/background_0047_time_stretch_13.wav,251146,background
2046,audio/background_0032_time_stretch_9.wav,251146,background
2047,audio/t_bags_0080_time_stretch_1.wav,251140,bags
2048,audio/ring_0443.wav,251064,ring
2049,audio/background_0027_time_stretch_4.wav,250936,background
2050,audio/t_door_0045_time_stretch_9.wav,250920,door
2051,audio/speech_0100.wav,250910,speech
2052,audio/tt_k_0008.wav,250910,keyboard
2053,audio/knocking_door_0027_time_stretch_3.wav,250898,knocking_door
2054,audio/background_0015_time_stretch_13.wav,250854,background
2055,audio/background_0059_time_stretch_12.wav,250636,background
2056,audio/t_bags_0073_time_stretch_3.wav,250606,bags
2057,audio/t_door_0045_time_stretch_3.wav,250484,door
2058,audio/background_0027_time_stretch_12.wav,250462,background
2059,audio/background_0061_time_stretch_0.wav,250272,background
2060,audio/knocking_door_0038_time_stretch_1.wav,250184,knocking_door
2061,audio/t_knocking_door_0002_time_stretch_4.wav,250068,knocking_door
2062,audio/background_0047_time_stretch_6.wav,249966,background
2063,audio/background_0017_time_stretch_2.wav,249962,background
2064,audio/background_0057_time_stretch_7.wav,249938,background
2065,audio/background_0021_time_stretch_1.wav,249864,background
2066,audio/t_keyboard_0022_time_stretch_1.wav,249856,keyboard
2067,audio/speech_0003.wav,249678,speech
2068,audio/speech_0046.wav,249678,speech
2069,audio/tool_1648.wav,249678,tool
2070,audio/speech_0037.wav,249678,speech
2071,audio/t_door_0025_time_stretch_9.wav,249638,door
2072,audio/t_door_0088_time_stretch_7.wav,249630,door
2073,audio/k_0051_time_stretch_2.wav,249626,keyboard
2074,audio/tt_kd_0013_time_stretch_7.wav,249456,knocking_door
2075,audio/t_bags_0012_time_stretch_3.wav,249238,bags
2076,audio/t_door_0001_time_stretch_9.wav,248918,door
2077,audio/k_0050_time_stretch_3.wav,248884,keyboard
2078,audio/tt_kd_0022_time_stretch_2.wav,248818,knocking_door
2079,audio/bg_0041_time_stretch_3.wav,248794,bags
2080,audio/background_0035_time_stretch_9.wav,248758,background
2081,audio/door_0027_time_stretch_10.wav,248700,door
2082,audio/background_0012_time_stretch_2.wav,248384,background
2083,audio/ring_0059.wav,248250,ring
2084,audio/knocking_door_0026_time_stretch_2.wav,248210,knocking_door
2085,audio/t_door_0055_time_stretch_3.wav,248110,door
2086,audio/background_0038_time_stretch_13.wav,248084,background
2087,audio/t_ring_0055.wav,247758,ring
2088,audio/background_0037_time_stretch_0.wav,247740,background
2089,audio/door_0027_time_stretch_3.wav,247734,door
2090,audio/door_0001_time_stretch_2.wav,247674,door
2091,audio/t_keyboard_0065_time_stretch_1.wav,247664,keyboard
2092,audio/bags_0017_time_stretch_1.wav,247592,bags
2093,audio/background_0041_time_stretch_1.wav,247578,background
2094,audio/t_bags_0035_time_stretch_3.wav,247456,bags
2095,audio/background_0022_time_stretch_4.wav,247332,background
2096,audio/k_0033_time_stretch_3.wav,247276,keyboard
2097,audio/knocking_door_0037_time_stretch_1.wav,247204,knocking_door
2098,audio/background_0029_time_stretch_9.wav,246944,background
2099,audio/knocking_door_0011_time_stretch_9.wav,246896,knocking_door
2100,audio/t_door_0027_time_stretch_9.wav,246778,door
2101,audio/tt_kd_0019.wav,246686,knocking_door
2102,audio/background_0057_time_stretch_10.wav,246374,background
2103,audio/keyboard_0011_time_stretch_2.wav,246282,keyboard
2104,audio/t_keyboard_0050_time_stretch_2.wav,245890,keyboard
2105,audio/t_keyboard_0073.wav,245838,keyboard
2106,audio/keyboard_0001.wav,245838,keyboard
2107,audio/speech_0089.wav,245838,speech
2108,audio/t_keyboard_0081.wav,245838,keyboard
2109,audio/t_ring_0052.wav,245838,ring
2110,audio/t_keyboard_0022_time_stretch_2.wav,245836,keyboard
2111,audio/knocking_door_0021_time_stretch_4.wav,245474,knocking_door
2112,audio/background_0020_time_stretch_6.wav,245372,background
2113,audio/t_bags_0062_time_stretch_1.wav,245068,bags
2114,audio/knocking_door_0001_time_stretch_7.wav,245034,knocking_door
2115,audio/t_door_0027_time_stretch_10.wav,244972,door
2116,audio/k_0032_time_stretch_2.wav,244712,keyboard
2117,audio/t_door_0020_time_stretch_11.wav,244602,door
2118,audio/bags_0004_time_stretch_0.wav,244562,bags
2119,audio/background_0022_time_stretch_0.wav,244550,background
2120,audio/bags_0022_time_stretch_3.wav,244474,bags
2121,audio/t_keyboard_0040_time_stretch_2.wav,244232,keyboard
2122,audio/k_0037_time_stretch_3.wav,244034,keyboard
2123,audio/background_0035_time_stretch_5.wav,243804,background
2124,audio/t_knocking_door_0002_time_stretch_1.wav,243576,knocking_door
2125,audio/background_0061_time_stretch_11.wav,243546,background
2126,audio/t_keyboard_0025_time_stretch_3.wav,243538,keyboard
2127,audio/background_0047_time_stretch_3.wav,243504,background
2128,audio/background_0049_time_stretch_10.wav,243474,background
